Run,Avg Degree,Clustering Coeff,Avg Path Length
1,4.9454,0.0004858008658008657,5.722706232293573
2,5.0068,0.0004390259740259739,5.722706232293573
3,4.9672,0.000701426351426351,5.722706232293573
4,5.0198,0.000439121989121989,5.722706232293573
5,4.99,0.000385238095238095,5.722706232293573
6,5.002,0.0005752503052503052,5.722706232293573
7,5.0094,0.0006233189033189033,5.722706232293573
8,5.0002,0.00047954323454323414,5.722706232293573
9,5.0216,0.00040307858807858807,5.722706232293573
10,4.985,0.0005107597957597958,5.722706232293573
11,4.9678,0.0005723065823065819,5.722706232293573
12,4.9866,0.0005278354978354976,5.722706232293573
13,5.018,0.0003527194211017739,5.722706232293573
14,5.0256,0.0004318975468975468,5.722706232293573
15,4.9688,0.0005554617604617604,5.722706232293573
16,5.0478,0.0006651370851370848,5.722706232293573
17,5.0726,0.00040827339327339314,5.722706232293573
18,4.9928,0.00025513708513708516,5.722706232293573
19,5.031,0.0005587107337107335,5.722706232293573
20,5.0436,0.0005676118326118322,5.722706232293573
21,5.027,0.00048398545898545883,5.722706232293573
22,4.99,0.00022761183261183266,5.722706232293573
23,4.9406,0.00014143578643578645,5.722706232293573
24,5.0134,0.0005171811521811521,5.722706232293573
25,5.0066,0.0005575108225108222,5.722706232293573
26,5.068,0.000644350649350649,5.722706232293573
27,5.0044,0.0003969574869574868,5.722706232293573
28,5.0454,0.00047038961038961037,5.722706232293573
29,4.9976,0.00034601731601731594,5.722706232293573
30,5.01,0.00035055555555555567,5.722706232293573
