Run,Avg Degree,Clustering Coeff,Avg Path Length
1,9.894,0.002001386697238093,3.9646842168433687
2,10.0484,0.001830938972784445,3.6989700043360187
3,9.9916,0.0020846792835647354,3.952110342068414
4,9.9204,0.0021686702557848097,3.6989700043360187
5,10.0684,0.001900325753874013,3.6989700043360187
6,9.9752,0.002115700518951295,3.6989700043360187
7,10.0264,0.0018415112745796577,3.9425245849169834
8,10.0064,0.0023685777592683,3.9478219643928787
9,10.0092,0.0021394375232610553,3.9473669133826768
10,10.0152,0.0018534448729804775,3.944531226245249
11,10.024,0.0020864328372902892,3.943347149429886
12,9.9464,0.00210461240857526,3.9564083216643327
13,9.9168,0.0019020762545810341,3.6989700043360187
14,10.072,0.0022113086569433334,3.9364856971394278
15,9.9944,0.0018583156982261851,3.9475890378075613
16,9.9836,0.0020941325599065567,3.9488716143228646
17,10.046,0.0018746772503307732,3.6989700043360187
18,9.9892,0.001818631143538266,3.6989700043360187
19,9.8812,0.0023369866242251513,3.965334346869374
20,10.0388,0.0022812613739889324,3.943759551910382
21,9.956,0.002046825186599047,3.954865293058612
22,10.0128,0.0020218373559704843,3.9458474894978997
23,10.0212,0.001872111485006225,3.9445840368073615
24,10.122,0.0015247444145122173,3.929460932186437
25,10.0204,0.0019660372988761785,3.6989700043360187
26,10.0052,0.0020990742143992954,3.6989700043360187
27,9.91,0.002269724126922274,3.9623797559511904
28,9.9148,0.001725420786643697,3.9609186637327465
29,10.0612,0.001991362640963532,3.9380418483696737
30,10.1296,0.0021632477842075397,3.927636327265453
