Run,Avg Degree,Clustering Coeff,Avg Path Length
1,9.962,0.009269928523488898,3.2596016016016014
2,9.91,0.00953987656650196,3.26615015015015
3,10.012,0.00989719607018369,3.2526166166166166
4,10.152,0.01082542402557882,3.2375915915915914
5,10.214,0.010633509658556107,3.2288308308308307
6,10.054,0.00960365774314826,3.2476856856856857
7,9.938,0.010520389161921676,3.260186186186186
8,9.85,0.010748642264990374,3.2783563563563565
9,9.924,0.009256728857657654,3.2676856856856857
10,9.952,0.00850984236781452,3.2610810810810813
11,9.788,0.008917230172648132,3.28438038038038
12,10.16,0.01044346964300862,3.2375695695695694
13,9.782,0.008730318348662,3.2859339339339337
14,9.92,0.008796621991251146,2.9999999999999996
15,9.934,0.009495415008108512,3.263913913913914
16,10.02,0.011136414179216049,3.254768768768769
17,9.888,0.009698427212547558,3.2742262262262263
18,10.21,0.009593264366389959,3.2281141141141143
19,10.16,0.0105846669412459,3.2385725725725725
20,10.188,0.009293456887483675,3.233055055055055
21,10.174,0.01075278512337336,3.2354494494494492
22,10.036,0.010444702665755309,3.248816816816817
23,10.112,0.011100589778298767,3.241075075075075
24,9.964,0.010676384485827214,3.259275275275275
25,9.916,0.010534887472348781,3.266256256256256
26,9.908,0.009665767136200574,3.2682902902902904
27,10.008,0.009065403233191632,3.2553753753753756
28,9.988,0.010826434427659362,3.2613773773773773
29,10.046,0.00874242439706836,3.248166166166166
30,10.074,0.009814250532748986,3.2456536536536538
